2dust/v2rayN	7.24.6	v2rayN/v2rayN.sln	dotnet
AUTOMATIC1111/stable-diffusion-webui	v1.10.1	requirements.txt	python
Alamofire/Alamofire	5.12.0	Package.swift	swift
App-vNext/Polly	8.7.0	src/Polly.Core/Polly.Core.csproj	dotnet
AutoMapper/AutoMapper	v16.2.0	src/AutoMapper.DI.Tests/AutoMapper.DI.Tests.csproj	dotnet
AvaloniaUI/Avalonia	12.1.1	nukebuild/_build.csproj	dotnet
Baseflow/flutter_cached_network_image	v3.4.1	cached_network_image/example/android/build.gradle	dart
BurntSushi/ripgrep	15.2.0	Cargo.lock	rust
Chalarangelo/30-seconds-of-code	v14.0.0	package-lock.json	javascript
ClickHouse/ClickHouse	54011		cpp
Comfy-Org/ComfyUI	v0.31.1	requirements.txt	python
EbookFoundation/free-programming-books	@default		other
FluentValidation/FluentValidation	12.1.1	FluentValidation.sln	dotnet
FluxML/Flux.jl	v0.16.11	examples/resnet_tinyimagenet/pytorch/pyproject.toml	julia
Genymobile/scrcpy	v4.1	build.gradle	cpp
GoogleCloudPlatform/terraform-google-network	v18.1.2	test/integration/go.sum	terraform
Homebrew/brew	6.0.15	Library/Homebrew/Gemfile.lock	ruby
InsertKoinIO/koin	4.2.2	projects/build.gradle.kts	kotlin
Intervention/image	4.2.1	composer.json	php
JamesNK/Newtonsoft.Json	13.0.4	Src/Newtonsoft.Json.FuzzTests/Newtonsoft.Json.FuzzTests.csproj	dotnet
JetBrains/kotlin	v2.4.10	build.gradle.kts	kotlin
JuliaData/DataFrames.jl	v1.8.2		julia
JuliaGPU/CUDA.jl	v6.2.1		julia
JuliaLang/Pkg.jl	v1.12.6		julia
JuliaLang/julia	v1.12.6		other
JuliaPlots/Plots.jl	v1.41.4		julia
JuliaSymbolics/Symbolics.jl	v7.36.0		julia
JuliaWeb/HTTP.jl	v2.6.4		julia
Kong/kong	3.9.3	spec/fixtures/proxy_wasm_filters/Cargo.lock	lua
Kotlin/kotlinx.coroutines	1.11.0	build.gradle.kts	kotlin
Kotlin/kotlinx.serialization	v1.11.0	build.gradle.kts	kotlin
LuaJIT/LuaJIT	@default		other
LuaLS/lua-language-server	3.19.0		lua
MassTransit/MassTransit	v8.5.10	MassTransit.sln	dotnet
Mic92/sops-nix	@default	go.sum	nix
Moya/Moya	15.0.3	Package.resolved	swift
NixOS/nix	2.35.1		nix
NixOS/nixpkgs	v208	pkgs/servers/dnschain/package.json	nix
OpenAPITools/openapi-generator	v7.24.0	package-lock.json	java
OrchardCMS/OrchardCore	v3.0.1	yarn.lock	dotnet
PHPMailer/PHPMailer	v7.1.1	composer.json	php
PMunch/futhark	v0.16.0		nim
Perl/perl5	v5.45.1		other
PostHog/posthog	1.43.1	requirements.txt	polyglot
PostgREST/postgrest	v16.0	stack.yaml.lock	haskell
PowerShell/PowerShell	v7.6.4	PowerShell.sln	dotnet
ReactiveX/RxJava	v3.1.12	build.gradle	java
ReactiveX/RxSwift	6.10.2	Package.swift	swift
SDWebImage/SDWebImage	5.21.7	Package.swift	swift
SciML/DifferentialEquations.jl	v8.0.1		julia
SeaQL/sea-orm	2.0.1	Cargo.toml	rust
Seldaek/monolog	3.10.0	composer.json	php
Shopify/liquid	v5.13.0		ruby
Significant-Gravitas/AutoGPT	v0.6.44	autogpt_platform/autogpt_libs/poetry.lock	python
SixLabors/ImageSharp	v4.0.0	ImageSharp.sln	dotnet
SwiftyJSON/SwiftyJSON	5.0.2	Package.swift	swift
TanStack/query	v5.90.3	pnpm-lock.yaml	javascript
Textualize/rich	v15.0.0	poetry.lock	python
Textualize/textual	v8.2.8	uv.lock	python
TheAlgorithms/Python	@default	uv.lock	python
WordPress/WordPress	7.0.3	wp-includes/sodium_compat/composer.json	php
abpframework/abp	10.6.0	templates/app-nolayers/angular/package.json	dotnet
abseil/abseil-cpp	20260526.0		cpp
absinthe-graphql/absinthe	v1.11.0	mix.lock	elixir
activeadmin/activeadmin	v3.5.2	yarn.lock	ruby
airbnb/lottie-ios	4.6.1	package.json	swift
airbytehq/airbyte	v2.0.0	poetry.lock	polyglot
akka/akka	v10.1.0	build.sbt	scala
alacritty/alacritty	v0.17.0	Cargo.lock	rust
alibaba/nacos	3.2.3	pom.xml	java
androidx/androidx	@default	build.gradle	kotlin
angular/angular	v22.1.1	pnpm-lock.yaml	javascript
ansible/ansible	v2.21.2	requirements.txt	python
anthropics/claude-code	v2.1.226		javascript
apache/airflow	3.3.0	uv.lock	python
apache/arrow	@default	python/pyproject.toml	polyglot
apache/camel	camel-4.22.0	pom.xml	java
apache/druid	druid-37.0.0	pom.xml	polyglot
apache/dubbo	dubbo-3.3.6	pom.xml	java
apache/flink	release-2.3.0	pom.xml	java
apache/hadoop	rel/release-3.5.0	pom.xml	java
apache/kafka	4.3.1	build.gradle	java
apache/lucene	releases/lucene/10.5.0	build.gradle	java
apache/pekko	v1.6.0	build.sbt	scala
apache/pulsar	v4.2.4	pom.xml	java
apache/spark	v4.2.0	pyproject.toml	scala
apache/superset-py	26.7.2	uv.lock	python
apache/superset	v2021.41.0	superset-frontend/package-lock.json	polyglot
apache/tomcat	11.0.24	modules/cxf/pom.xml	java
apache/zookeeper	release-3.9.5	pom.xml	java
apple/swift-argument-parser	1.8.2	Package.swift	swift
apple/swift-collections	1.6.0	Package.swift	swift
apple/swift-log	1.15.0	Package.swift	swift
apple/swift-nio	2.101.3	Package.swift	swift
apple/swift-package-manager	0.6.0	Package.swift	swift
appwrite/appwrite	1.9.6	package-lock.json	polyglot
argoproj/argo-cd	v3.5.0	go.sum	go
arrow-kt/arrow	2.2.3	build.gradle.kts	kotlin
ash-project/ash	v3.31.2	mix.lock	elixir
astral-sh/ruff	0.16.2	uv.lock	rust
astral-sh/uv	0.12.3	uv.lock	rust
axios/axios	v1.19.0	package-lock.json	javascript
babashka/babashka	v1.13.219	deps.edn	clojure
babel/babel	v8.0.4	yarn.lock	javascript
backstage/backstage	v1.53.1	yarn.lock	polyglot
