ecosystem	slug	target	note
python	psf/requests	https://github.com/psf/requests.git	pep621-setuptools
python	pallets/flask	https://github.com/pallets/flask.git	flit
python	django/django	https://github.com/django/django.git	setuptools
python	encode/httpx	https://github.com/encode/httpx.git	hatch
python	pydantic/pydantic	https://github.com/pydantic/pydantic.git	hatch+uv
python	psf/black	https://github.com/psf/black.git	hatch
python	fastapi/fastapi	https://github.com/fastapi/fastapi.git	pdm
python	scrapy/scrapy	https://github.com/scrapy/scrapy.git	setuptools
python	numpy/numpy	https://github.com/numpy/numpy.git	meson
python	pandas-dev/pandas	https://github.com/pandas-dev/pandas.git	meson
python	scikit-learn/scikit-learn	https://github.com/scikit-learn/scikit-learn.git	meson
python	huggingface/transformers	https://github.com/huggingface/transformers.git	setuptools
python	python-poetry/poetry	https://github.com/python-poetry/poetry.git	poetry.lock
python	pypa/pip	https://github.com/pypa/pip.git	setuptools
python	ansible/ansible	https://github.com/ansible/ansible.git	setuptools
python	home-assistant/core	https://github.com/home-assistant/core.git	requirements.txt
python	celery/celery	https://github.com/celery/celery.git	requirements-dir
python	sqlalchemy/sqlalchemy	https://github.com/sqlalchemy/sqlalchemy.git	setuptools
python	locustio/locust	https://github.com/locustio/locust.git	poetry
python	apache/airflow	https://github.com/apache/airflow.git	hatch-monorepo
python	streamlit/streamlit	https://github.com/streamlit/streamlit.git	polyglot
python	Textualize/rich	https://github.com/Textualize/rich.git	poetry.lock
python	tiangolo/sqlmodel	https://github.com/fastapi/sqlmodel.git	pdm
python	mlflow/mlflow	https://github.com/mlflow/mlflow.git	polyglot
javascript	facebook/react	https://github.com/facebook/react.git	yarn.lock
javascript	vuejs/core	https://github.com/vuejs/core.git	pnpm-lock
javascript	angular/angular	https://github.com/angular/angular.git	yarn+bazel
javascript	sveltejs/svelte	https://github.com/sveltejs/svelte.git	pnpm-lock
javascript	vercel/next.js	https://github.com/vercel/next.js.git	pnpm-monorepo
javascript	expressjs/express	https://github.com/expressjs/express.git	package.json-only
javascript	nestjs/nest	https://github.com/nestjs/nest.git	pnpm
javascript	axios/axios	https://github.com/axios/axios.git	package-lock
javascript	lodash/lodash	https://github.com/lodash/lodash.git	npm
javascript	webpack/webpack	https://github.com/webpack/webpack.git	yarn
javascript	vitejs/vite	https://github.com/vitejs/vite.git	pnpm
javascript	babel/babel	https://github.com/babel/babel.git	yarn-monorepo
javascript	eslint/eslint	https://github.com/eslint/eslint.git	npm
javascript	prettier/prettier	https://github.com/prettier/prettier.git	yarn
javascript	jestjs/jest	https://github.com/jestjs/jest.git	yarn-monorepo
javascript	microsoft/TypeScript	https://github.com/microsoft/TypeScript.git	npm
javascript	socketio/socket.io	https://github.com/socketio/socket.io.git	npm-monorepo
javascript	chartjs/Chart.js	https://github.com/chartjs/Chart.js.git	npm
javascript	d3/d3	https://github.com/d3/d3.git	yarn
javascript	mrdoob/three.js	https://github.com/mrdoob/three.js.git	npm
javascript	tailwindlabs/tailwindcss	https://github.com/tailwindlabs/tailwindcss.git	pnpm
javascript	storybookjs/storybook	https://github.com/storybookjs/storybook.git	yarn-monorepo
javascript	remix-run/react-router	https://github.com/remix-run/react-router.git	pnpm
javascript	strapi/strapi	https://github.com/strapi/strapi.git	yarn-monorepo
go	kubernetes/kubernetes	https://github.com/kubernetes/kubernetes.git	huge-gomod
go	moby/moby	https://github.com/moby/moby.git	gomod
go	hashicorp/terraform	https://github.com/hashicorp/terraform.git	gomod
go	grafana/grafana	https://github.com/grafana/grafana.git	go+js
go	prometheus/prometheus	https://github.com/prometheus/prometheus.git	go+js
go	gin-gonic/gin	https://github.com/gin-gonic/gin.git	gomod
go	gohugoio/hugo	https://github.com/gohugoio/hugo.git	gomod
go	etcd-io/etcd	https://github.com/etcd-io/etcd.git	multi-module
go	traefik/traefik	https://github.com/traefik/traefik.git	gomod
go	cli/cli	https://github.com/cli/cli.git	gomod
go	spf13/cobra	https://github.com/spf13/cobra.git	small-gomod
go	rclone/rclone	https://github.com/rclone/rclone.git	gomod
go	minio/minio	https://github.com/minio/minio.git	gomod
go	jesseduffield/lazygit	https://github.com/jesseduffield/lazygit.git	gomod
go	containerd/containerd	https://github.com/containerd/containerd.git	gomod
go	istio/istio	https://github.com/istio/istio.git	gomod
go	influxdata/telegraf	https://github.com/influxdata/telegraf.git	gomod
go	caddyserver/caddy	https://github.com/caddyserver/caddy.git	gomod
go	syncthing/syncthing	https://github.com/syncthing/syncthing.git	gomod
go	junegunn/fzf	https://github.com/junegunn/fzf.git	gomod
rust	rust-lang/rust	https://github.com/rust-lang/rust.git	huge-cargo
rust	denoland/deno	https://github.com/denoland/deno.git	cargo
rust	astral-sh/uv	https://github.com/astral-sh/uv.git	cargo-workspace
rust	astral-sh/ruff	https://github.com/astral-sh/ruff.git	cargo-workspace
rust	BurntSushi/ripgrep	https://github.com/BurntSushi/ripgrep.git	cargo
rust	sharkdp/bat	https://github.com/sharkdp/bat.git	cargo
rust	sharkdp/fd	https://github.com/sharkdp/fd.git	cargo
rust	tokio-rs/tokio	https://github.com/tokio-rs/tokio.git	cargo-workspace
rust	serde-rs/serde	https://github.com/serde-rs/serde.git	cargo-nolock
rust	clap-rs/clap	https://github.com/clap-rs/clap.git	cargo
rust	alacritty/alacritty	https://github.com/alacritty/alacritty.git	cargo
rust	starship/starship	https://github.com/starship/starship.git	cargo
rust	helix-editor/helix	https://github.com/helix-editor/helix.git	cargo
rust	rustdesk/rustdesk	https://github.com/rustdesk/rustdesk.git	cargo+flutter
rust	tauri-apps/tauri	https://github.com/tauri-apps/tauri.git	cargo+js
rust	SeaQL/sea-orm	https://github.com/SeaQL/sea-orm.git	cargo
rust	rayon-rs/rayon	https://github.com/rayon-rs/rayon.git	cargo-nolock
rust	sharkdp/hyperfine	https://github.com/sharkdp/hyperfine.git	cargo
java	spring-projects/spring-boot	https://github.com/spring-projects/spring-boot.git	gradle
java	spring-projects/spring-framework	https://github.com/spring-projects/spring-framework.git	gradle
java	elastic/elasticsearch	https://github.com/elastic/elasticsearch.git	gradle-huge
java	apache/kafka	https://github.com/apache/kafka.git	gradle
java	apache/lucene	https://github.com/apache/lucene.git	gradle
java	google/guava	https://github.com/google/guava.git	maven
java	square/retrofit	https://github.com/square/retrofit.git	maven
java	square/okhttp	https://github.com/square/okhttp.git	gradle-kts
java	netty/netty	https://github.com/netty/netty.git	maven
java	apache/dubbo	https://github.com/apache/dubbo.git	maven
java	alibaba/nacos	https://github.com/alibaba/nacos.git	maven
java	jenkinsci/jenkins	https://github.com/jenkinsci/jenkins.git	maven
java	apache/flink	https://github.com/apache/flink.git	maven-huge
java	apache/camel	https://github.com/apache/camel.git	maven-huge
java	junit-team/junit5	https://github.com/junit-team/junit-framework.git	gradle-kts
java	mockito/mockito	https://github.com/mockito/mockito.git	gradle
java	ReactiveX/RxJava	https://github.com/ReactiveX/RxJava.git	gradle
java	iluwatar/java-design-patterns	https://github.com/iluwatar/java-design-patterns.git	maven
ruby	rails/rails	https://github.com/rails/rails.git	gemfile.lock
ruby	jekyll/jekyll	https://github.com/jekyll/jekyll.git	gemspec
ruby	discourse/discourse	https://github.com/discourse/discourse.git	gemfile+yarn
ruby	fastlane/fastlane	https://github.com/fastlane/fastlane.git	gemfile
