ecosystem	slug	target	note
ruby	Shopify/liquid	https://github.com/Shopify/liquid.git	gemspec
ruby	rubygems/rubygems	https://github.com/rubygems/rubygems.git	gemfile
ruby	ruby-grape/grape	https://github.com/ruby-grape/grape.git	gemspec
ruby	activeadmin/activeadmin	https://github.com/activeadmin/activeadmin.git	gemfile
ruby	rack/rack	https://github.com/rack/rack.git	gemspec-nolock
ruby	capistrano/capistrano	https://github.com/capistrano/capistrano.git	gemspec
ruby	thoughtbot/factory_bot	https://github.com/thoughtbot/factory_bot.git	gemspec
ruby	sass/sassc-ruby	https://github.com/sass/sassc-ruby.git	gemspec
php	php-fig/log	https://github.com/php-fig/log.git	composer-nolock
php	doctrine/orm	https://github.com/doctrine/orm.git	composer
php	slimphp/Slim	https://github.com/slimphp/Slim.git	composer
php	yiisoft/yii2	https://github.com/yiisoft/yii2.git	composer
php	Intervention/image	https://github.com/Intervention/image.git	composer
php	spatie/laravel-permission	https://github.com/spatie/laravel-permission.git	composer
php	PHPMailer/PHPMailer	https://github.com/PHPMailer/PHPMailer.git	composer
php	briannesbitt/Carbon	https://github.com/briannesbitt/Carbon.git	composer
dotnet	dotnet/maui	https://github.com/dotnet/maui.git	csproj
dotnet	App-vNext/Polly	https://github.com/App-vNext/Polly.git	csproj
dotnet	quartznet/quartznet	https://github.com/quartznet/quartznet.git	csproj
dotnet	MassTransit/MassTransit	https://github.com/MassTransit/MassTransit.git	csproj
dotnet	dotnet/roslyn	https://github.com/dotnet/roslyn.git	csproj-huge
dotnet	FluentValidation/FluentValidation	https://github.com/FluentValidation/FluentValidation.git	csproj
dotnet	dotnet/machinelearning	https://github.com/dotnet/machinelearning.git	csproj
dotnet	restsharp/RestSharp	https://github.com/restsharp/RestSharp.git	csproj
swift	apple/swift-package-manager	https://github.com/swiftlang/swift-package-manager.git	spm
swift	apple/swift-collections	https://github.com/apple/swift-collections.git	spm
swift	apple/swift-log	https://github.com/apple/swift-log.git	spm
swift	ReactiveX/RxSwift	https://github.com/ReactiveX/RxSwift.git	spm
swift	onevcat/Kingfisher	https://github.com/onevcat/Kingfisher.git	spm
swift	apple/swift-argument-parser	https://github.com/apple/swift-argument-parser.git	spm
elixir	elixir-nx/nx	https://github.com/elixir-nx/nx.git	mix
elixir	beam-telemetry/telemetry	https://github.com/beam-telemetry/telemetry.git	mix-nolock
elixir	elixir-plug/plug	https://github.com/elixir-plug/plug.git	mix.lock
elixir	livebook-dev/livebook	https://github.com/livebook-dev/livebook.git	mix+npm
elixir	thoughtbot/ex_machina	https://github.com/thoughtbot/ex_machina.git	mix.lock
dart	dart-lang/http	https://github.com/dart-lang/http.git	pubspec
dart	flutter/gallery	https://github.com/flutter/gallery.git	pubspec.lock
dart	Baseflow/flutter_cached_network_image	https://github.com/Baseflow/flutter_cached_network_image.git	pubspec
dart	fluttercommunity/plus_plugins	https://github.com/fluttercommunity/plus_plugins.git	pubspec-monorepo
dart	dart-lang/shelf	https://github.com/dart-lang/shelf.git	pubspec
cpp	conan-io/conan-center-index	https://github.com/conan-io/conan-center-index.git	conanfiles
cpp	microsoft/vcpkg	https://github.com/microsoft/vcpkg.git	vcpkg-ports
cpp	catchorg/Catch2	https://github.com/catchorg/Catch2.git	cmake
cpp	gabime/spdlog	https://github.com/gabime/spdlog.git	cmake
cpp	abseil/abseil-cpp	https://github.com/abseil/abseil-cpp.git	bazel+cmake
cpp	facebook/folly	https://github.com/facebook/folly.git	cmake
terraform	terraform-aws-modules/terraform-aws-s3-bucket	https://github.com/terraform-aws-modules/terraform-aws-s3-bucket.git	hcl
terraform	terraform-aws-modules/terraform-aws-security-group	https://github.com/terraform-aws-modules/terraform-aws-security-group.git	hcl
terraform	terraform-google-modules/terraform-google-kubernetes-engine	https://github.com/terraform-google-modules/terraform-google-kubernetes-engine.git	hcl
scala	softwaremill/tapir	https://github.com/softwaremill/tapir.git	sbt
scala	typelevel/cats	https://github.com/typelevel/cats.git	sbt
