ecosystem	slug	target	note
clojure	babashka/babashka	https://github.com/babashka/babashka.git	deps.edn + graalvm
clojure	clj-kondo/clj-kondo	https://github.com/clj-kondo/clj-kondo.git	deps.edn + graalvm
clojure	clojure/clojure	https://github.com/clojure/clojure.git	maven pom
clojure	clojure/tools.deps	https://github.com/clojure/tools.deps.git	deps.edn
clojure	metabase/metabase	https://github.com/metabase/metabase.git	deps.edn, large app
clojure	ring-clojure/ring	https://github.com/ring-clojure/ring.git	ring middleware, project.clj
clojure	seancorfield/next-jdbc	https://github.com/seancorfield/next-jdbc.git	deps.edn
clojure	technomancy/leiningen	https://github.com/technomancy/leiningen.git	project.clj
cpp	ClickHouse/ClickHouse	https://github.com/ClickHouse/ClickHouse.git	cmake, very large
cpp	Genymobile/scrcpy	https://github.com/Genymobile/scrcpy.git	top-100, meson
cpp	duckdb/duckdb	https://github.com/duckdb/duckdb.git	cmake, vendored
cpp	envoyproxy/envoy	https://github.com/envoyproxy/envoy.git	bazel
cpp	ggml-org/llama.cpp	https://github.com/ggml-org/llama.cpp.git	top-100, cmake
cpp	godotengine/godot	https://github.com/godotengine/godot.git	scons, no manifest
cpp	grpc/grpc	https://github.com/grpc/grpc.git	bazel + cmake, polyglot
cpp	libgit2/libgit2	https://github.com/libgit2/libgit2.git	cmake
cpp	microsoft/terminal	https://github.com/microsoft/terminal.git	vcpkg.json + msbuild
dart	cfug/dio	https://github.com/cfug/dio.git	pubspec
dart	firebase/flutterfire	https://github.com/firebase/flutterfire.git	monorepo
dart	flame-engine/flame	https://github.com/flame-engine/flame.git	melos monorepo
dart	flutter/samples	https://github.com/flutter/samples.git	official samples, many pubspecs
dart	invertase/react-native-firebase	https://github.com/invertase/react-native-firebase.git	js + dart mix
docker	docker.io/library/eclipse-temurin:21-jdk	docker.io/library/eclipse-temurin:21-jdk	jdk image
docker	docker.io/library/golang:1.24	docker.io/library/golang:1.24	toolchain image
docker	docker.io/library/httpd:2.4	docker.io/library/httpd:2.4	official image
docker	docker.io/library/mariadb:11	docker.io/library/mariadb:11	official image
docker	docker.io/library/memcached:1.6-alpine	docker.io/library/memcached:1.6-alpine	tiny alpine
docker	docker.io/library/nginx:stable	docker.io/library/nginx:stable	official image
docker	docker.io/library/node:22-alpine	docker.io/library/node:22-alpine	alpine, musl
docker	docker.io/library/postgres:17	docker.io/library/postgres:17	official image
docker	docker.io/library/python:3.13-slim	docker.io/library/python:3.13-slim	python image
docker	docker.io/library/redis:7-alpine	docker.io/library/redis:7-alpine	alpine
docker	docker.io/library/ruby:3.3-slim	docker.io/library/ruby:3.3-slim	ruby image
docker	docker.io/library/rust:1-slim	docker.io/library/rust:1-slim	toolchain image
docker	docker.io/library/wordpress:php8.3	docker.io/library/wordpress:php8.3	php image
docker	gcr.io/distroless/static-debian12:latest	gcr.io/distroless/static-debian12:latest	distroless, near-empty
dotnet	2dust/v2rayN	https://github.com/2dust/v2rayN.git	top-100, csproj
dotnet	AvaloniaUI/Avalonia	https://github.com/AvaloniaUI/Avalonia.git	UI framework monorepo
dotnet	OrchardCMS/OrchardCore	https://github.com/OrchardCMS/OrchardCore.git	modular monorepo
dotnet	SixLabors/ImageSharp	https://github.com/SixLabors/ImageSharp.git	library
dotnet	dotnet/orleans	https://github.com/dotnet/orleans.git	framework monorepo
dotnet	microsoft/PowerToys	https://github.com/microsoft/PowerToys.git	top-100, csproj + C++
dotnet	ppy/osu	https://github.com/ppy/osu.git	large app, csproj
dotnet	reactiveui/ReactiveUI	https://github.com/reactiveui/ReactiveUI.git	monorepo
elixir	ash-project/ash	https://github.com/ash-project/ash.git	mix.lock
elixir	beam-community/bamboo	https://github.com/beam-community/bamboo.git	mix.lock
elixir	elixir-nx/bumblebee	https://github.com/elixir-nx/bumblebee.git	mix.lock, ML
erlang	benoitc/hackney	https://github.com/benoitc/hackney.git	rebar.lock
erlang	emqx/emqx	https://github.com/emqx/emqx.git	rebar.lock
erlang	erlang/rebar3	https://github.com/erlang/rebar3.git	rebar.lock
erlang	erlware/relx	https://github.com/erlware/relx.git	rebar.lock
erlang	inaka/elvis	https://github.com/inaka/elvis.git	rebar.lock
erlang	ninenines/cowboy	https://github.com/ninenines/cowboy.git	rebar.lock
erlang	processone/ejabberd	https://github.com/processone/ejabberd.git	rebar.lock
erlang	rabbitmq/rabbitmq-server	https://github.com/rabbitmq/rabbitmq-server.git	rebar/erlang.mk monorepo
go	argoproj/argo-cd	https://github.com/argoproj/argo-cd.git	go + ui
go	cockroachdb/cockroach	https://github.com/cockroachdb/cockroach.git	go + bazel, huge
go	golang/go	https://github.com/golang/go.git	top-100, the toolchain itself
go	goreleaser/goreleaser	https://github.com/goreleaser/goreleaser.git	go
go	grpc/grpc-go	https://github.com/grpc/grpc-go.git	go.sum
go	ollama/ollama	https://github.com/ollama/ollama.git	go + cpp
haskell	PostgREST/postgrest	https://github.com/PostgREST/postgrest.git	cabal, real app
haskell	haskell-servant/servant	https://github.com/haskell-servant/servant.git	cabal monorepo
haskell	haskell/aeson	https://github.com/haskell/aeson.git	cabal, json
haskell	haskell/haskell-language-server	https://github.com/haskell/haskell-language-server.git	cabal, large
haskell	haskellari/postgresql-simple	https://github.com/haskellari/postgresql-simple.git	cabal
haskell	jgm/pandoc	https://github.com/jgm/pandoc.git	cabal, widely used
haskell	koalaman/shellcheck	https://github.com/koalaman/shellcheck.git	cabal
haskell	snoyberg/conduit	https://github.com/snoyberg/conduit.git	stack + cabal
haskell	yesodweb/yesod	https://github.com/yesodweb/yesod.git	stack monorepo
java	OpenAPITools/openapi-generator	https://github.com/OpenAPITools/openapi-generator.git	maven
java	apache/hadoop	https://github.com/apache/hadoop.git	maven, enormous
java	apache/pulsar	https://github.com/apache/pulsar.git	maven
java	apache/tomcat	https://github.com/apache/tomcat.git	ant + maven
java	apache/zookeeper	https://github.com/apache/zookeeper.git	maven
java	debezium/debezium	https://github.com/debezium/debezium.git	maven
java	google/dagger	https://github.com/google/dagger.git	bazel + maven
java	google/gson	https://github.com/google/gson.git	maven
java	keycloak/keycloak	https://github.com/keycloak/keycloak.git	maven
java	quarkusio/quarkus	https://github.com/quarkusio/quarkus.git	maven monorepo
javascript	Chalarangelo/30-seconds-of-code	https://github.com/Chalarangelo/30-seconds-of-code.git	top-100, npm
javascript	TanStack/query	https://github.com/TanStack/query.git	pnpm monorepo
javascript	anthropics/claude-code	https://github.com/anthropics/claude-code.git	top-100, npm
javascript	clash-verge-rev/clash-verge-rev	https://github.com/clash-verge-rev/clash-verge-rev.git	top-100, TS + Rust
javascript	elysiajs/elysia	https://github.com/elysiajs/elysia.git	bun.lock
javascript	excalidraw/excalidraw	https://github.com/excalidraw/excalidraw.git	yarn workspace
javascript	firecrawl/firecrawl	https://github.com/firecrawl/firecrawl.git	top-100, pnpm monorepo
javascript	freeCodeCamp/freeCodeCamp	https://github.com/freeCodeCamp/freeCodeCamp.git	top-100, large pnpm monorepo
javascript	honojs/hono	https://github.com/honojs/hono.git	bun/npm
javascript	iptv-org/iptv	https://github.com/iptv-org/iptv.git	top-100, npm on a data repo
javascript	langgenius/dify	https://github.com/langgenius/dify.git	top-100, TS + Python
javascript	nodejs/node	https://github.com/nodejs/node.git	cpp + js, no lockfile
javascript	nrwl/nx	https://github.com/nrwl/nx.git	pnpm monorepo
javascript	nuxt/nuxt	https://github.com/nuxt/nuxt.git	pnpm monorepo
javascript	prisma/prisma	https://github.com/prisma/prisma.git	pnpm monorepo + rust
javascript	react/react-native	https://github.com/react/react-native.git	top-100, huge JS+native monorepo
javascript	shadcn-ui/ui	https://github.com/shadcn-ui/ui.git	top-100, pnpm monorepo
javascript	trekhleb/javascript-algorithms	https://github.com/trekhleb/javascript-algorithms.git	top-100, npm, few deps
javascript	trpc/trpc	https://github.com/trpc/trpc.git	pnpm monorepo
javascript	twbs/bootstrap	https://github.com/twbs/bootstrap.git	top-100, npm
javascript	typeorm/typeorm	https://github.com/typeorm/typeorm.git	npm
javascript	vercel/turborepo	https://github.com/vercel/turborepo.git	pnpm workspace + rust
javascript	vuejs/vue	https://github.com/vuejs/vue.git	top-100, Vue 2, npm
javascript	withastro/astro	https://github.com/withastro/astro.git	pnpm monorepo
julia	FluxML/Flux.jl	https://github.com/FluxML/Flux.jl.git	Project.toml
julia	JuliaData/DataFrames.jl	https://github.com/JuliaData/DataFrames.jl.git	Project.toml
julia	JuliaGPU/CUDA.jl	https://github.com/JuliaGPU/CUDA.jl.git	Project.toml
julia	JuliaLang/Pkg.jl	https://github.com/JuliaLang/Pkg.jl.git	Project.toml/Manifest.toml
julia	JuliaPlots/Plots.jl	https://github.com/JuliaPlots/Plots.jl.git	Project.toml
julia	JuliaSymbolics/Symbolics.jl	https://github.com/JuliaSymbolics/Symbolics.jl.git	Project.toml
julia	JuliaWeb/HTTP.jl	https://github.com/JuliaWeb/HTTP.jl.git	Project.toml
julia	SciML/DifferentialEquations.jl	https://github.com/SciML/DifferentialEquations.jl.git	Project.toml
kotlin	InsertKoinIO/koin	https://github.com/InsertKoinIO/koin.git	gradle
kotlin	JetBrains/kotlin	https://github.com/JetBrains/kotlin.git	gradle, enormous
kotlin	Kotlin/kotlinx.coroutines	https://github.com/Kotlin/kotlinx.coroutines.git	gradle
kotlin	Kotlin/kotlinx.serialization	https://github.com/Kotlin/kotlinx.serialization.git	gradle
kotlin	androidx/androidx	https://github.com/androidx/androidx.git	gradle, enormous
kotlin	arrow-kt/arrow	https://github.com/arrow-kt/arrow.git	gradle
kotlin	coil-kt/coil	https://github.com/coil-kt/coil.git	gradle
kotlin	detekt/detekt	https://github.com/detekt/detekt.git	gradle
kotlin	google/ksp	https://github.com/google/ksp.git	gradle
kotlin	ktorio/ktor	https://github.com/ktorio/ktor.git	gradle
kotlin	mockk/mockk	https://github.com/mockk/mockk.git	gradle
kotlin	sqldelight/sqldelight	https://github.com/sqldelight/sqldelight.git	gradle
lua	Kong/kong	https://github.com/Kong/kong.git	rockspec, real app
lua	LuaLS/lua-language-server	https://github.com/LuaLS/lua-language-server.git	lua + rockspec
lua	daurnimator/lua-http	https://github.com/daurnimator/lua-http.git	rockspec
lua	folke/lazy.nvim	https://github.com/folke/lazy.nvim.git	plugin manager, no manifest
lua	lunarmodules/busted	https://github.com/lunarmodules/busted.git	rockspec
lua	lunarmodules/luasocket	https://github.com/lunarmodules/luasocket.git	rockspec
lua	luvit/luvit	https://github.com/luvit/luvit.git	rockspec
lua	nvim-lua/kickstart.nvim	https://github.com/nvim-lua/kickstart.nvim.git	no manifest at all
nim	PMunch/futhark	https://github.com/PMunch/futhark.git	nimble
nim	disruptek/frosty	https://github.com/disruptek/frosty.git	nimble small
nim	nim-lang/Nim	https://github.com/nim-lang/Nim.git	nimble
nim	nim-lang/nimble	https://github.com/nim-lang/nimble.git	nimble itself
nim	nimgl/nimgl	https://github.com/nimgl/nimgl.git	nimble
nim	status-im/nimbus-eth2	https://github.com/status-im/nimbus-eth2.git	nimble, large
nim	treeform/pixie	https://github.com/treeform/pixie.git	nimble
nim	zedeus/nitter	https://github.com/zedeus/nitter.git	nimble app
nix	Mic92/sops-nix	https://github.com/Mic92/sops-nix.git	flake.lock
nix	NixOS/nix	https://github.com/NixOS/nix.git	the package manager
nix	NixOS/nixpkgs	https://github.com/NixOS/nixpkgs.git	flake.nix, enormous
nix	cachix/devenv	https://github.com/cachix/devenv.git	flake.lock + rust
nix	nix-community/home-manager	https://github.com/nix-community/home-manager.git	flake.lock
nix	nix-community/naersk	https://github.com/nix-community/naersk.git	flake.lock + rust
nix	nix-community/nixvim	https://github.com/nix-community/nixvim.git	flake.lock
nix	numtide/devshell	https://github.com/numtide/devshell.git	flake.lock
ocaml	janestreet/core	https://github.com/janestreet/core.git	dune
ocaml	mirage/mirage	https://github.com/mirage/mirage.git	opam
ocaml	ocaml-batteries-team/batteries-included	https://github.com/ocaml-batteries-team/batteries-included.git	opam
ocaml	ocaml-multicore/eio	https://github.com/ocaml-multicore/eio.git	dune
ocaml	ocaml/dune	https://github.com/ocaml/dune.git	dune-project
ocaml	ocaml/opam	https://github.com/ocaml/opam.git	opam itself
ocaml	ocsigen/lwt	https://github.com/ocsigen/lwt.git	opam
ocaml	reasonml/reason	https://github.com/reasonml/reason.git	dune/opam
other	EbookFoundation/free-programming-books	https://github.com/EbookFoundation/free-programming-books.git	top-100, no manifest
other	ohmyzsh/ohmyzsh	https://github.com/ohmyzsh/ohmyzsh.git	top-100, shell, no manifest
