javascript	facebook/react	https://github.com/facebook/react.git	yarn.lock	v19.2.8
python	psf/requests	https://github.com/psf/requests.git	pep621-setuptools	v2.34.2
go	kubernetes/kubernetes	https://github.com/kubernetes/kubernetes.git	huge-gomod	v1.36.3
dotnet	dotnet/runtime	https://github.com/dotnet/runtime.git	huge	v10.0.10
rust	rust-lang/rust	https://github.com/rust-lang/rust.git	huge-cargo	1.97.1
cpp	curl/curl	https://github.com/curl/curl.git	autotools-nolock	curl-8_21_0
ruby	rails/rails	https://github.com/rails/rails.git	gemfile.lock	v8.1.3.1
java	spring-projects/spring-boot	https://github.com/spring-projects/spring-boot.git	gradle	v4.1.0
php	laravel/framework	https://github.com/laravel/framework.git	composer-nolock	v13.24.0
docker	nginx:latest	nginx:latest	container	@default
polyglot	supabase/supabase	https://github.com/supabase/supabase.git	pnpm-monorepo	v1.26.08
swift	Alamofire/Alamofire	https://github.com/Alamofire/Alamofire.git	spm	5.12.0
dart	flutter/flutter	https://github.com/flutter/flutter.git	pubspec-huge	3.44.9
elixir	elixir-lang/elixir	https://github.com/elixir-lang/elixir.git	mix-nolock	v1.20.3
other	haskell/cabal	https://github.com/haskell/cabal.git	haskell-unsupported	Cabal-v3.18.1.0
kotlin	InsertKoinIO/koin	https://github.com/InsertKoinIO/koin.git	gradle	4.2.2
terraform	terraform-aws-modules/terraform-aws-vpc	https://github.com/terraform-aws-modules/terraform-aws-vpc.git	hcl	v6.6.1
haskell	PostgREST/postgrest	https://github.com/PostgREST/postgrest.git	cabal, real app	v16.0
zig	ghostty-org/ghostty	https://github.com/ghostty-org/ghostty.git	build.zig.zon, terminal	v1.3.1
erlang	benoitc/hackney	https://github.com/benoitc/hackney.git	rebar.lock	4.7.2
julia	FluxML/Flux.jl	https://github.com/FluxML/Flux.jl.git	Project.toml	v0.16.11
lua	Kong/kong	https://github.com/Kong/kong.git	rockspec, real app	3.9.3
nim	PMunch/futhark	https://github.com/PMunch/futhark.git	nimble	v0.16.0
scala	apache/spark	https://github.com/apache/spark.git	maven+sbt	v4.2.0
nix	Mic92/sops-nix	https://github.com/Mic92/sops-nix.git	flake.lock	@default
ocaml	janestreet/core	https://github.com/janestreet/core.git	dune	113.33.03
perl	houseabsolute/DateTime.pm	https://github.com/houseabsolute/DateTime.pm.git	cpanfile	v1.66
r	r-lib/devtools	https://github.com/r-lib/devtools.git	DESCRIPTION	v2.5.2
javascript	vuejs/core	https://github.com/vuejs/core.git	pnpm-lock	v3.5.41
python	pallets/flask	https://github.com/pallets/flask.git	flit	3.1.3
go	moby/moby	https://github.com/moby/moby.git	gomod	v28.5.2
clojure	babashka/babashka	https://github.com/babashka/babashka.git	deps.edn + graalvm	v1.13.219
dotnet	dotnet/aspnetcore	https://github.com/dotnet/aspnetcore.git	huge	v10.0.10
rust	denoland/deno	https://github.com/denoland/deno.git	cargo	v2.9.5
cpp	openssl/openssl	https://github.com/openssl/openssl.git	perl-build	openssl-4.0.1
ruby	jekyll/jekyll	https://github.com/jekyll/jekyll.git	gemspec	v4.4.1
php	symfony/symfony	https://github.com/symfony/symfony.git	composer	v8.1.4
docker	python:3.12-slim	python:3.12-slim	container	@default
polyglot	n8n-io/n8n	https://github.com/n8n-io/n8n.git	pnpm-monorepo	n8n@2.34.4
java	spring-projects/spring-framework	https://github.com/spring-projects/spring-framework.git	gradle	v7.0.8
swift	apple/swift-nio	https://github.com/apple/swift-nio.git	spm	2.101.3
dart	dart-lang/sdk	https://github.com/dart-lang/sdk.git	pubspec	3.12.2
elixir	phoenixframework/phoenix	https://github.com/phoenixframework/phoenix.git	mix.lock	v1.8.9
other	commercialhaskell/stack	https://github.com/commercialhaskell/stack.git	haskell-unsupported	v3.11.1
terraform	terraform-aws-modules/terraform-aws-eks	https://github.com/terraform-aws-modules/terraform-aws-eks.git	hcl	v21.24.2
haskell	haskell-servant/servant	https://github.com/haskell-servant/servant.git	cabal monorepo	servant-0.20.3.0
zig	hexops/mach	https://github.com/hexops/mach.git	build.zig.zon, game engine	v0.5.0
