Alamofire/Alamofire	5.12.0	Package.swift	swift	crashed rc=1
Baseflow/flutter_cached_network_image	v3.4.1	cached_network_image/example/android/build.gradle	dart	crashed rc=1
JetBrains/kotlin	v2.4.10	build.gradle.kts	kotlin	crashed rc=1
ReactiveX/RxJava	v3.1.12	build.gradle	java	crashed rc=1
ReactiveX/RxSwift	6.10.2	Package.swift	swift	crashed rc=1
SDWebImage/SDWebImage	5.21.7	Package.swift	swift	crashed rc=1
SwiftyJSON/SwiftyJSON	5.0.2	Package.swift	swift	crashed rc=1
airbytehq/airbyte	v2.0.0	build.gradle	polyglot	crashed rc=1
akka/akka	v10.1.0	build.sbt	scala	crashed rc=1
androidx/androidx	@default	build.gradle	kotlin	crashed rc=1
apache/kafka	4.3.1	build.gradle	java	crashed rc=1
apple/swift-argument-parser	1.8.2	Package.swift	swift	crashed rc=1
apple/swift-collections	1.6.0	Package.swift	swift	crashed rc=1
apple/swift-log	1.15.0	Package.swift	swift	crashed rc=1
apple/swift-nio	2.101.3	Package.swift	swift	crashed rc=1
apple/swift-package-manager	0.6.0	Package.swift	swift	crashed rc=1
arrow-kt/arrow	2.2.3	build.gradle.kts	kotlin	crashed rc=124
cfug/dio	dio_v5.11.0	example_flutter_app/android/build.gradle.kts	dart	crashed rc=1
dart-lang/http	http-v1.5.0	pkgs/cronet_http/android/build.gradle	dart	crashed rc=1
debezium/debezium	v3.6.1.Final	pom.xml	java	crashed rc=124
elastic/elasticsearch	v9.5.0	build.gradle	java	crashed rc=1
firebase/flutterfire	@default	packages/cloud_firestore/cloud_firestore/android/build.gradle	dart	crashed rc=1
flutter/packages	@default	packages/espresso/android/build.gradle.kts	dart	crashed rc=1
flutter/samples	@default	cupertino_gallery/android/build.gradle.kts	dart	crashed rc=1
fmtlib/fmt	12.2.0	support/build.gradle	cpp	crashed rc=1
google/dagger	dagger-2.60.1	buildSrc/build.gradle.kts	java	crashed rc=1
google/ksp	2.3.11	build.gradle.kts	kotlin	crashed rc=1
groue/GRDB.swift	v7.11.1	Package.swift	swift	crashed rc=1
grpc/grpc	v1.83.0	Package.swift	cpp	crashed rc=1
grpc/grpc-java	v1.83.1	build.gradle	polyglot	crashed rc=1
haskell/cabal	Cabal-v3.18.1.0	stack.yaml	other	crashed rc=1
http4s/http4s	v0.23.36	build.sbt	scala	crashed rc=1
junit-team/junit5	@default	build.gradle.kts	java	crashed rc=1
kean/Nuke	13.1.0	Package.swift	swift	crashed rc=1
mockk/mockk	v1.14.11	build.gradle.kts	kotlin	crashed rc=1
nlohmann/json	v3.12.0	Package.swift	cpp	crashed rc=1
nrwl/nx	23.1.1	build.gradle.kts	javascript	crashed rc=1
onevcat/Kingfisher	8.11.0	Package.swift	swift	crashed rc=1
opensearch-project/OpenSearch	3.8.0	build.gradle	polyglot	crashed rc=1
protocolbuffers/protobuf	v35.1	java/pom.xml	cpp	crashed rc=1
react/react-native	v0.86.2	build.gradle.kts	javascript	crashed rc=1
realm/realm-swift	v20.0.5	Package.swift	swift	crashed rc=1
softwaremill/tapir	v1.13.31	build.sbt	scala	crashed rc=1
spring-projects/spring-boot	v4.1.0	build.gradle	java	crashed rc=1
spring-projects/spring-framework	v7.0.8	build.gradle	java	crashed rc=1
swiftlang/swift-package-manager	0.6.0	Package.swift	swift	crashed rc=1
tensorflow/tensorflow	v2.21.0	tensorflow/lite/java/demo/build.gradle	polyglot	crashed rc=1
vapor/vapor	4.122.0	Package.swift	swift	crashed rc=1
AUTOMATIC1111/stable-diffusion-webui	v1.10.1	package.json	python	empty document
App-vNext/Polly	8.7.0	src/Polly.Testing/Polly.Testing.csproj	dotnet	empty document
AutoMapper/AutoMapper	v16.2.0	src/Benchmark/Benchmark.csproj	dotnet	empty document
